Group,Number of Elements
NaN_group,4
WD_ScionLot_ZM1289_Zea mays,10
WD_ScionLot_ZM3234_Zea mays,2
WD_ScionLot_ZM4112_Zea mays,16
WD_ScionLot_ZM4373_Zea mays,10
WD_ScionLot_ZM4383_Zea mays,10
WD_ScionLot_ZM4453_Zea mays,8
WD_SeedLot_ZM1304_lot1_Zea mays,10
WD_SeedLot_ZM4342_Zea mays,10
WD_SeedLot_ZM4343_Zea mays,10
WD_SeedLot_ZM4344_Zea mays,10
WD_SeedLot_ZM4345_Zea mays,10
WD_SeedLot_ZM4346_Zea mays,10
WD_SeedLot_ZM4347_Zea mays,10
WD_SeedLot_ZM4348_Zea mays,10
WD_SeedLot_ZM4349_Zea mays,10
WD_SeedLot_ZM4350_Zea mays,10
WD_SeedLot_ZM4351_Zea mays,10
WD_SeedLot_ZM4352_Zea mays,10
WD_SeedLot_ZM4353_Zea mays,10
WD_SeedLot_ZM4354_Zea mays,10
WD_SeedLot_ZM4355_Zea mays,10
WD_SeedLot_ZM4356_Zea mays,10
WD_SeedLot_ZM4357_Zea mays,10
WD_SeedLot_ZM4358_Zea mays,10
WD_SeedLot_ZM4359_Zea mays,10
WD_SeedLot_ZM4360_Zea mays,10
WD_SeedLot_ZM4361_Zea mays,10
WD_SeedLot_ZM4362_Zea mays,10
WD_SeedLot_ZM4363_Zea mays,10
WD_SeedLot_ZM4364_Zea mays,10
WD_SeedLot_ZM4365_Zea mays,10
WD_SeedLot_ZM4366_Zea mays,10
WD_SeedLot_ZM4367_Zea mays,10
WD_SeedLot_ZM4368_Zea mays,10
WD_SeedLot_ZM4369_Zea mays,10
WD_SeedLot_ZM4370_Zea mays,10
WD_SeedLot_ZM4371_Zea mays,10
WD_SeedLot_ZM4372_Zea mays,10
WD_SeedLot_ZM4374_Zea mays,10
WD_SeedLot_ZM4375_Zea mays,10
WD_SeedLot_ZM4376_Zea mays,10
WD_SeedLot_ZM4377_Zea mays,10
WD_SeedLot_ZM4378_Zea mays,10
WD_SeedLot_ZM4379_Zea mays,10
WD_SeedLot_ZM4380_Zea mays,10
WD_SeedLot_ZM4381_Zea mays,10
WD_SeedLot_ZM4382_Zea mays,10
WD_SeedLot_ZM4384_Zea mays,10
WD_SeedLot_ZM4385_Zea mays,10
